,DistrictCode,SchoolCode,SchoolName,Program,StudentGroup,TotalStudents,CSE-All,CSE-CourseCode
0,1109,3075,Washtucna Elementary/High School,AllStudents,All Students,23,5,5
8,1147,3015,Othello High School,AllStudents,All Students,1253,64,64
23,1158,2903,Lind-Ritzville High School,AllStudents,All Students,54,17,17
36,1160,2132,Ritzville High School,AllStudents,All Students,105,23,23
48,2250,1617,Educational Opportunity Center,AllStudents,All Students,126,0,0
62,2250,2299,Charles Francis Adams High School,AllStudents,All Students,856,24,24
80,2420,2434,Asotin Jr Sr High,AllStudents,All Students,199,14,0
95,3017,1884,Legacy High School,AllStudents,All Students,301,1,0
111,3017,2826,Kennewick High School,AllStudents,All Students,1785,221,178
129,3017,3731,Kamiakin High School,AllStudents,All Students,1960,199,150
147,3017,4007,Benton/Franklin Juvenile Justice Center,AllStudents,All Students,111,0,0
161,3017,4118,Tri-Tech Skills Center,AllStudents,All Students,27,3,1
171,3017,4484,Southridge High School,AllStudents,All Students,1873,129,84
190,3052,2904,Kiona-Benton City High School,AllStudents,All Students,425,0,0
206,3053,2367,River View High School,AllStudents,All Students,334,22,0
221,3116,2508,Prosser High School,AllStudents,All Students,916,34,34
237,3400,3511,Richland High School,AllStudents,All Students,2214,77,77
256,3400,3833,Hanford High School,AllStudents,All Students,2084,117,117
275,3400,4295,Rivers Edge High School,AllStudents,All Students,373,0,0
291,4019,2623,Manson High School,AllStudents,All Students,232,55,43
306,4127,3317,Entiat Middle and High School,AllStudents,All Students,89,0,0
321,4129,4260,Chelan High School,AllStudents,All Students,452,0,0
336,4222,3268,CASHMERE HIGH SCHOOL,AllStudents,All Students,503,125,3
352,4228,3564,Cascade High School,AllStudents,All Students,434,28,25
368,4246,1613,Westside High School,AllStudents,All Students,338,0,0
383,4246,1802,Chelan County Juvenile Detention Center,AllStudents,All Students,37,0,0
393,4246,2134,Wenatchee High School,AllStudents,All Students,2109,121,121
410,5121,2908,Port Angeles High School,AllStudents,All Students,975,66,66
429,18801,3143,Clallam Co Juvenile Detention,AllStudents,All Students,26,0,0
436,5121,4003,Lincoln High School,AllStudents,All Students,88,0,0
446,5313,3473,Crescent School,AllStudents,All Students,79,8,8
458,5323,1708,Olympic Peninsula Academy,AllStudents,All Students,11,0,0
